item_name,category_name,records_json
苗族古歌,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""贵州省台江县"", ""保护单位"": ""台江县非物质文化遗产保护中心""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""贵州省黄平县"", ""保护单位"": ""黄平县非物质文化遗产保护中心""}, {""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""湖南省花垣县"", ""保护单位"": ""花垣县非物质文化遗产保护中心""}]"
苗族古歌（簪汪传）,民间文学,"[{""公布时间"": ""2021(第五批)"", ""申报地区或单位"": ""贵州省贵阳市清镇市"", ""保护单位"": ""清镇市文化馆""}]"
布洛陀,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""广西壮族自治区田阳县"", ""保护单位"": ""田阳县文化馆""}]"
遮帕麻和遮咪麻,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""云南省梁河县"", ""保护单位"": ""梁河县文化馆""}]"
牡帕密帕,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""云南省思茅市"", ""保护单位"": ""澜沧拉祜族自治县文化馆""}]"
刻道,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""贵州省施秉县"", ""保护单位"": ""施秉县非物质文化遗产保护中心""}]"
白蛇传传说,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""江苏省镇江市"", ""保护单位"": ""镇江市非物质文化遗产保护中心""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""浙江省杭州市"", ""保护单位"": ""杭州市文化馆（杭州市非物质文化遗产保护中心）""}]"
梁祝传说,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""江苏省宜兴市"", ""保护单位"": ""宜兴市华夏梁祝文化研究会""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""浙江省宁波市"", ""保护单位"": ""宁波梁祝文化园管理有限公司""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""浙江省杭州市"", ""保护单位"": ""杭州市文化馆（杭州市非物质文化遗产保护中心）""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""浙江省上虞市"", ""保护单位"": ""绍兴市上虞区文化馆（区非物质遗产保护中心）""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""山东省济宁市"", ""保护单位"": ""济宁市梁祝文化研究会""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""河南省汝南县"", ""保护单位"": ""汝南县文化馆""}]"
孟姜女传说,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""山东省淄博市"", ""保护单位"": ""淄博市淄川区公共文化服务中心（加挂淄川区文化馆、淄川区美术馆牌子）""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""河北省秦皇岛市"", ""保护单位"": ""秦皇岛市山海关区文化馆""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""湖南省津市市"", ""保护单位"": ""津市市文化馆（津市市美术馆）""}, {""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""山东省莒县"", ""保护单位"": ""莒县文化馆""}, {""公布时间"": ""2014(第四批)"", ""申报地区或单位"": ""山东省莱芜市莱城区"", ""保护单位"": ""济南市文化馆（济南市非物质文化遗产保护中心、济南市艺术创作研究院）""}]"
董永传说,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""山西省万荣县"", ""保护单位"": ""万荣县文化馆""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""江苏省东台市"", ""保护单位"": ""东台市文化馆""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""河南省武陟县"", ""保护单位"": ""武陟县董永文化服务中心""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""湖北省孝感市"", ""保护单位"": ""孝感市群众艺术馆（孝感市非物质文化遗产保护中心）""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""江苏省金坛市"", ""保护单位"": ""常州市金坛区文化馆""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山东省博兴县"", ""保护单位"": ""博兴县文化馆""}, {""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""江苏省丹阳市"", ""保护单位"": ""丹阳市文化馆""}]"
